id,name
urn:aph.gov.au:ministerialrole:minister_ind_sci_tech,"Minister for Industry, Science and Technology"
urn:aph.gov.au:ministerialrole:minister_road_freight,"Assistant Minister for Road Safety and Freight Transport"
urn:aph.gov.au:ministerialrole:minister_veterans_defence,"Minister for Veterans and Defence Personnel"
urn:aph.gov.au:ministerialrole:deputy_house_leader,"Deputy Leader of the House"
urn:aph.gov.au:ministerialrole:immigration_citizenship,"Minister for Immigration, Citizenship, Migrant Services and Multicultural Affairs"
urn:aph.gov.au:ministerialrole:asst_trade_investment,"Assistant Trade and Investment Minister"
urn:aph.gov.au:ministerialrole:regional_services,"Minister for Regional Services, Decentralisation and Local Government"
urn:aph.gov.au:ministerialrole:home_affairs,"Minister for Home Affairs"
urn:aph.gov.au:ministerialrole:asst_waste_environmentMgmt,"Assistant Minister for Waste Reduction and Environmental Management"
urn:aph.gov.au:ministerialrole:comms_cyber_arts,"Minister for Communications, Cyber Safety and the Arts"
urn:aph.gov.au:ministerialrole:treasurer,"Treasurer"
urn:aph.gov.au:ministerialrole:asst_to_deputyPM,"Assistant Minister to the Deputy Prime Minister"
urn:aph.gov.au:ministerialrole:asst_defence_minister,"Assistant Defence Minister"
urn:aph.gov.au:ministerialrole:intldevelopment_pacific,"Minister for International Development and the Pacific"
urn:aph.gov.au:ministerialrole:housing_homelessness_communitysvcs,"Assistant Minister for Community Housing, Homelessness and Community Services"
urn:aph.gov.au:ministerialrole:asst_PM_publicservice_cabinet,"Minister Assisting the Prime Minister for the Public Service and Cabinet"
urn:aph.gov.au:ministerialrole:health,"Minister for Health"
urn:aph.gov.au:ministerialrole:vocationaleducation_training,"Assistant Minister for Vocational Education, Training and Apprenticeships"
urn:aph.gov.au:ministerialrole:children_families,"Assistant Minister for Children and Families"
urn:aph.gov.au:ministerialrole:environment,"Minister for the Environment"
urn:aph.gov.au:ministerialrole:water_drought_rural,"Minister for Water Resources, Drought, Rural Finance, Natural Disaster and Emergency Management"
urn:aph.gov.au:ministerialrole:regional_development,"Assistant Minister for Regional Development and Territories"
urn:aph.gov.au:ministerialrole:deputyPM,"Deputy Prime Minister"
urn:aph.gov.au:ministerialrole:infrastructure_transport_regionaldev,"Minister for Infrastructure,Transport and Regional Development"
urn:aph.gov.au:ministerialrole:publicservice, "Minister for the Public Service"
urn:aph.gov.au:ministerialrole:primeMinister, "Prime Minister"
urn:aph.gov.au:ministerialrole:asst_to_PM_Cabinet,"Assistant Minister to the Prime Minister and Cabinet"
urn:aph.gov.au:ministerialrole:attorney_general,"Attorney-General"
urn:aph.gov.au:ministerialrole:industrial_relations,"Minister for Industrial Relations"
urn:aph.gov.au:ministerialrole:leader_of_house,"Leader of the House"
urn:aph.gov.au:ministerialrole:defence_industry,"Minister for Defence Industry"
urn:aph.gov.au:ministerialrole:NDIS,"Minister for the National Disability Insurance Scheme"
urn:aph.gov.au:ministerialrole:government_services,"Minister for Government Services"
urn:aph.gov.au:ministerialrole:asst_treasurer,"Assistant Treasurer"
urn:aph.gov.au:ministerialrole:housing,"Minister for Housing"
urn:aph.gov.au:ministerialrole:energy_emissionsreduction,"Minister for Energy and Emissions Reduction"
urn:aph.gov.au:ministerialrole:education,"Minister for Education"
urn:aph.gov.au:ministerialrole:urban_infrastructure,"Minister for Population, Cities and Urban Infrastructure"
urn:aph.gov.au:ministerialrole:customs_safety_multicultural,"Assistant Minister for Customs, Community Safety and Multicultural Affairs"
urn:aph.gov.au:ministerialrole:indigenous,"Minister for Indigenous Australians"

https://www.aph.gov.au/about_parliament/parliamentary_departments/parliamentary_library/parliamentary_handbook/current_ministry_list
